Regulator	Target	MI
App	Bcl2	0.9226579161801904
App	Slc39a12	1.0451092170466731
App	Smtn	0.9638587609203464
App	Parpbp	0.9377720647282208
App	Crim1	0.9272774876223107
App	Gm8237	0.9270498194055907
App	Prickle2	0.9466538140773944
App	Adamts18	0.96585176406127
App	Epha3	0.924320180503285
App	Epha4	0.9545620866593492
App	Gm12877	0.9324132270889205
App	Sox11	0.917058541716667
App	Gm6325	0.9368962728549457
App	Pawr	0.9651388516808845
App	Cyp7b1	1.1258180158850788
App	Olfr111	0.9351424684157266
App	Itgb8	0.9174633707284654
App	Bcas1	1.0525623049006922
App	Dcstamp	0.922617839448006
App	Ctla2a	0.9262058564739108
App	Gm8013	0.9476408934623617
App	Il15	0.9414178925400307
App	Slc6a20a	1.0004498808793327
App	E330020D12Rik	0.9460091669714581
App	Pkib	0.9255025166761275
App	Tbc1d1	0.9710055711398482
App	Mmp13	0.9872755929787047
App	Nrgn	0.9561356234531431
App	Gm2245	0.9600236034995815
App	Gm12688	0.9251284316003074
App	Crhr2	0.9479451037476005
App	E230032D23Rik	1.0417206482474466
Spi1	Gjc3	2.018981081960505
Spi1	Ncapg	1.5933739678195122
Spi1	Gm16252	1.8911101614917154
Spi1	Gjb1	1.711445528409362
Spi1	Fstl4	1.4243234127330933
Spi1	B630019A10Rik	1.5906112364984608
Spi1	Fgd2	2.1550331643534193
Spi1	Agt	1.4889407537927877
Spi1	CT485616.1	1.8971067926548946
Spi1	Hpgds	2.2411264976473633
Spi1	Scarb1	0.649279973032864
Spi1	Csf1r	2.0565684991791082
Spi1	Ptprc	2.35595984439756
Spi1	Ptprb	1.7740684221137322
Spi1	Tmem150b	2.019400799672094
Spi1	Hmmr	1.6076344431723149
Spi1	Slc39a12	1.623806386148189
Spi1	Sh3pxd2b	1.5635831629982935
Spi1	Bcl2a1d	1.7956140740671822
Spi1	Knl1	1.634217607993401
Spi1	Spon1	1.5316535736615782
Spi1	Tpx2	1.5283994831983927
Spi1	Kif18a	1.675941771226781
