aracne_B6J,aracne_B6J_v1,aracne_CASTJ,aracne_CASTJ_v1,aracne_both,celloracle_B6J,celloracle_B6J_v1,celloracle_CASTJ,celloracle_CASTJ_v1,celloracle_both,celloracle_both_v1,genie3_B6J,genie3_B6J_v1,genie3_CASTJ,genie3_CASTJ_v1,genie3_both,grnboost2_B6J,grnboost2_B6J_v1,grnboost2_CASTJ,grnboost2_CASTJ_v1,grnboost2_both,hdwgcna_B6J,hdwgcna_CASTJ,hdwgcna_both,scenic_B6J,scenic_B6J_v1,scenic_CASTJ,scenic_CASTJ_v1,scenic_both
69.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,33.0,0.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0,0.0,52.0,72.0,0.0,0.0,35.0,0.0,0.0,17.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,38.0,0.0,36.0,33.0,44.0,29.0,21.0,0.0,0.0,0.0,17.0,23.0,0.0,20.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,53.0,57.0,61.0,62.0,49.0,60.0,103.0,0.0,44.0,0.0,111.0,91.0,0.0,50.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
