,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
Elf2,taipale_tf_pairs__E2F1_ELK1_SGCGCNNNNNNNNNNCGGAAGN_CAP_repr,0.06706518903609295,3.3378310798905146,9.93737e-06,1.0,motif similar to cisbp__M01494 ('ETV3L[gene ID: ENSG00000253831 species: Homo sapiens TF status: inferred TF family: Ets DBDs: Ets]; Elf2[gene ID: ENSMUSG00000037174 species: Mus musculus TF status: direct TF family: Ets DBDs: Ets]; Erf[gene ID: ENSMUSG00000040857 species: Mus musculus TF status: inferred TF family: Ets DBDs: Ets]'; q-value = 9.94e-06) which is directly annotated,"frozenset({'activating', 'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Kansl1', 88.6365929450307), ('Mpdz', 94.2633414797251), ('Cnr1', 15.434488995002624), ('Gphn', 25.344231435362964), ('Rad21', 54.33640753865466), ('Fzd3', 48.34001187650831), ('Larp4b', 54.06226035720696), ('Cep350', 33.82880576189445), ('Nipbl', 75.1025307364991), ('Socs5', 35.34362528260286), ('Igf2bp1', 57.25313288194228), ('Mbd5', 67.80089731294082), ('Hecw2', 15.456899786912764), ('Clip1', 22.58469883827294), ('Elf2', 1.0), ('Slf1', 14.555776549335118), ('Baz1a', 20.271202345147422), ('Wdfy3', 71.52041273236306), ('Frmd5', 8.830793568429133), ('Usf3', 29.375328440479823), ('Camk2d', 115.80636947078992), ('Pde5a', 29.71059656724882), ('Phf20l1', 44.46152319968778), ('Nhej1', 8.771302256660372), ('Tbc1d12', 42.22132509978051), ('Lrrc7', 7.50394238003414), ('Ino80d', 44.168613335879584), ('Hnrnpk', 9.713013815119226), ('Farp1', 63.33752706009589), ('Zeb1', 88.39451774162688), ('Scmh1', 32.7213989723238), ('Cand1', 13.488495522407652), ('Itsn2', 36.98133031516013), ('Neto2', 15.821762572743314), ('Cnot4', 59.74083009757141), ('Jade1', 16.994179488696812), ('Zdhhc21', 41.10580038883514), ('Arhgap12', 22.572080925245825), ('Usp9x', 91.50295922150332), ('Zfr', 97.19408965531866), ('Ccdc15', 10.979515372646578), ('Kcnk9', 74.59700276875209), ('Dhx30', 11.212610192798492), ('Gli3', 117.11746479530495), ('Sp4', 19.56745956677623), ('Snap91', 23.2140338048596), ('Ap1g1', 37.78042903496613), ('Hectd1', 64.0076833849982), ('Apc', 51.10685913586715), ('Arid1b', 156.44571176414968), ('Rab2a', 64.56869420075839), ('Nr6a1', 61.31580468492142), ('Fam135a', 23.160700801552498), ('Zfp62', 12.352886379408607), ('Hnrnpd', 55.91668221566218), ('Faf1', 32.89137719625545), ('H2afy', 42.26647444499324), ('Slc4a7', 9.07710498040458), ('Afap1', 23.87389238255284), ('Kctd9', 22.02905009461768), ('Cuedc1', 16.780286497417), ('Tesk2', 9.690041971958207), ('Mcm3', 10.83756364068942), ('Dnajc1', 73.21578021385825), ('Matr3', 24.17229215221254), ('Exoc4', 45.027169984057736), ('Rbm25', 33.496761682875835), ('Man1a2', 40.10399966835237), ('Serbp1', 23.38437056122358), ('Azin1', 9.301609349464474), ('Dyrk1a', 53.13431142709074), ('Wdr26', 44.47550242447112), ('Ube3a', 57.79152612464348), ('Usp34', 83.43229477408761), ('Fbxl7', 76.6392971743613), ('Lmo7', 45.4978445785445), ('Pde10a', 59.60267680388947), ('Jph1', 17.493427774098368), ('Ubtf', 27.894988145208057), ('Plagl1', 13.775081331825628), ('Samd5', 21.178295935921685), ('Camk1d', 15.398479702231356), ('Fbxo28', 26.62673666456382), ('Cdkn2c', 15.291919182156782), ('Fli1', 23.7958113998036), ('Arhgap44', 10.799678603485814), ('Ppp3ca', 54.05693761132217), ('Ralgps2', 76.25280846581708), ('Adamts20', 35.02994901680771), ('Med12l', 34.953225418019), ('Npat', 41.84568397012451), ('Supt16', 12.110693927510509), ('Cep83', 13.67970588603659), ('Fer', 51.123228193205385), ('Bend3', 23.870975224890078), ('Arhgap21', 43.46532911367154), ('Zfand5', 80.78517127885725), ('Ehbp1', 38.4014858176918), ('Sec62', 25.86325369610513), ('Jarid2', 43.61649046271936), ('Stxbp6', 56.00080669677259), ('Unc80', 15.12000103887233), ('Mboat1', 65.95385412507599), ('Usp24', 55.9903930332594), ('Kcnh5', 15.45971391690168), ('Eif4g1', 22.012785876611087), ('Zfp384', 22.085591746584868), ('Ccdc3', 8.687914130929943), ('Bmper', 13.652994629135778), ('Large1', 77.99987430786858), ('Foxp2', 20.01896465700316), ('Phf14', 28.293531104970118), ('Epb41', 12.556084313462598), ('Kcmf1', 34.43743487477908), ('Stag1', 78.83398075294271), ('Fam114a1', 14.923283770058218), ('Kdm3b', 58.85864717371662), ('Mon2', 29.43442731956473), ('Ahctf1', 37.51527100360151), ('Ppp1r9a', 92.06623805811525), ('Ube2e1', 16.769881419070074), ('Xpo6', 54.49479383151393), ('C430049B03Rik', 26.55838853040972), ('Wipf1', 7.804370454131584), ('Zfp217', 10.963405651665278), ('Tcp11l1', 9.3159425252111), ('Erlin1', 12.240130443214657), ('Garem1', 24.07987867868939), ('Magi2', 54.97903442047932), ('Rai2', 27.82864632740776), ('Plekhg1', 21.670191379622565), ('Sos1', 42.93475029591512), ('Fat4', 18.616513466888648), ('Gapvd1', 38.08777203947627), ('Net1', 32.53510987991574), ('D16Ertd472e', 35.00192161289435), ('Map1b', 30.88526664754277), ('Dleu2', 44.08492904898016), ('Plcb1', 109.89550258445696), ('Zmym2', 55.66199727491449), ('Ctnnd2', 8.909224467432574), ('Grb14', 53.297907938703766), ('Txn1', 9.268564224491218), ('Kpna3', 104.7234018801483), ('Hp1bp3', 35.754184629744), ('Ern1', 158.8754653032906), ('Heca', 39.39267452045051), ('Ptar1', 15.028109042711492), ('Agtpbp1', 23.237331187503493), ('Atp11b', 24.853646785715394), ('Atad1', 36.137050711611394), ('Taf15', 83.37933854205293), ('Dip2c', 59.85479940254384), ('Qk', 46.07770025379937), ('Tet3', 27.923001210671544), ('Tax1bp1', 27.216114035608285), ('Xpot', 17.444409057010883), ('Fam208b', 25.951781124593523), ('Pak2', 72.92726871242277), ('Elmo1', 48.99430879829029), ('Uvrag', 79.18996957959047), ('Klhdc10', 46.22958413331941), ('Lrch1', 51.79151726534874), ('Clcn5', 40.38222794230888), ('St3gal6', 11.3924782658126), ('Dennd4c', 104.49846356147218), ('Dynll2', 15.72727978750462), ('Psma5', 9.40490746736084), ('Akap7', 67.5919860126532), ('Ranbp3', 33.45665359156292), ('Ptpn12', 47.26111046391665), ('Tdrd3', 32.07467376355268), ('Dnajc21', 68.11787380400169), ('Map2k4', 34.33145918604942), ('Pdcd10', 24.536797272042183), ('Mboat2', 61.80956193111746), ('Fyn', 80.0452361871017), ('Thoc7', 7.09233387309987), ('Dtnb', 57.44217178714837), ('Zfp462', 158.5810060797383), ('Pex5l', 46.16873473215536), ('Prkacb', 68.50077926786363), ('Rps6ka3', 70.58649234816701), ('Ccdc71l', 13.808537798248873), ('Arih2', 17.167868240685248), ('Zfpm2', 65.50599085665674), ('Zfp536', 87.48681430229537), ('Tmtc4', 10.255358807040722), ('Ubap2l', 65.54596009908305), ('Bpnt1', 15.269144893306256), ('Zfp52', 18.26850496513716), ('Rab21', 14.450935539430526), ('Gart', 37.012455557776576), ('Cnot6l', 44.45373802165443), ('Cbfa2t2', 27.740118983191085), ('Galnt14', 7.985408454177597), ('Zdhhc14', 13.60952459794978), ('Sgsm2', 29.49382286682974), ('Arglu1', 53.40245149898108), ('Kif21a', 32.526347058128046), ('Armc8', 28.93280174796701), ('Tsc1', 31.904943059797155), ('Gabrb1', 17.642340367856104), ('Vti1a', 149.41960944621354), ('Homer1', 27.392601401888715), ('Kcnma1', 150.70275577022397), ('Frmd4b', 28.53617356117266), ('Dennd1a', 46.78752161805296), ('Map4k4', 44.02739880895397), ('Ino80', 55.67108069675105), ('S100pbp', 15.790665686728444), ('Uxs1', 28.6305386083514), ('Tial1', 25.675051865685816), ('Wdfy2', 66.79505306827792), ('Far1', 8.186484345372111), ('Dlgap3', 14.438778847330614), ('Braf', 38.24947320566304), ('Ago4', 11.0050782180585), ('Abcc5', 10.940820913659325), ('Tspan12', 51.57376766816014), ('Gm11266', 33.33516875220769), ('Taf4', 12.21791538943488), ('Map7d2', 7.338092304898461), ('Nr1d2', 33.11941594581984), ('Ccar1', 59.431904887171015), ('Tbx15', 21.15952868962565), ('Acbd6', 29.893121653285743), ('Arhgap42', 21.132162384861463), ('Fam208a', 50.21240538787929), ('Cpne2', 7.673733674728809), ('Nadk2', 40.69878856004102), ('Eda', 11.11739797370298), ('Galnt7', 71.71084555516332), ('Ccnl1', 54.69907082219199), ('Diaph3', 10.291004437666222), ('Trip12', 103.17880621881388), ('App', 31.529269142578), ('Zfp827', 60.50974173064699), ('Appl1', 31.485048097975795), ('Myo5a', 55.06962371385354), ('Glud1', 7.445945983537956), ('Tmem170b', 10.933646654907191), ('Pgrmc2', 18.104949372428496), ('Rap1a', 46.79990903278578), ('Asb8', 16.017958664318474), ('Ppp4r1', 7.802094710637373), ('Pdcd4', 9.24659999801574), ('Arhgap29', 21.3205768797766), ('Ctsc', 13.644540492928506), ('Mertk', 28.26413411941579), ('Rnf219', 16.951473932530448), ('Ppp1r14c', 23.761134761923422), ('Zfp207', 38.43303234690233), ('Khdrbs1', 51.38518050903604), ('Ankfy1', 35.770448411454915), ('Trerf1', 74.88195719815505), ('Dlgap4', 39.43246678198447), ('Cgn', 13.840422528589652), ('Csde1', 49.69643232479274), ('Etv6', 49.28369359948104), ('Fgd4', 14.934084267731745), ('Cep112', 89.70869372925334), ('Stat5b', 33.1369884635982), ('Eml1', 14.892100626282154), ('Clip4', 15.40337549740824), ('Pan3', 93.24840164401296), ('Ago1', 14.962876461504216), ('Polr3gl', 15.369011449253462), ('Cdh2', 61.52331972726986), ('Akap11', 39.28419513551823), ('Klhl29', 26.614347331044623), ('Chsy1', 18.996797292831744), ('Il15', 41.212384566068565), ('Slc23a2', 48.77578368162106), ('Rora', 43.553446205102176), ('Senp5', 27.05032565571865), ('Slc25a17', 35.090138794703336), ('Cd2ap', 25.500421951955666), ('Dmxl2', 24.98506201756664), ('Sdhaf3', 28.435131172467685), ('Nap1l4', 42.23112455396665), ('Rabgap1l', 16.18034223618588), ('Clasp2', 159.04933216413338), ('Jak1', 49.956855123486704), ('Bcar3', 81.62095924549858), ('Cnksr3', 12.272990504828774), ('Prpf39', 30.743701818256067), ('Phlpp2', 88.85772864117958), ('Spast', 40.222734726197736), ('Synj1', 23.449965295577755), ('Hspa8', 24.74279931276413), ('Ldlrad3', 22.83836341007079), ('B3gnt2', 39.1951641978537), ('Fmr1', 10.728658836169142), ('Gpr180', 13.620240815453698), ('Ogfrl1', 8.561336521894724), ('Adk', 74.14541713789905), ('Lepr', 133.9832875028495), ('Rnf145', 13.81792554370323), ('Elk4', 20.683977600486227), ('Ccnd2', 60.228441620113024), ('Cmtm3', 17.42774769860208), ('Tnik', 165.75225646965933), ('Smchd1', 43.43469447960194), ('Cntln', 65.19675128182996), ('Ptprj', 93.29505412718056), ('Slc38a2', 31.39415342416508), ('Axin2', 45.27158273891428), ('Fyttd1', 20.9960373027331), ('Mthfs', 22.767216076205862), ('Tspan3', 17.41784295700715), ('Cntn1', 7.782632660230886), ('Rai1', 35.839974040204226), ('Tmtc3', 26.394718674098524), ('Sntb2', 90.46238812998696), ('Tsc22d1', 41.893361873170434), ('Deptor', 35.063863946982224), ('Ube2e3', 15.680484438824829), ('Nucb2', 9.533932589616906), ('Ap1s2', 39.713980873336325), ('Ext1', 10.690610277115155), ('Entpd5', 19.55317385771317), ('Laptm4b', 11.53317364353028), ('Prrc2a', 43.16580191433304), ('Tbck', 44.000823950875485), ('Stau2', 23.5807737513991), ('Ncald', 13.449387094752838), ('Epha7', 14.53411172605744), ('Zfp212', 10.803354286671446), ('Phf8', 29.954888441842147), ('Frmpd4', 124.5198849467746), ('Whrn', 34.693721700981136), ('Sdk1', 33.189022678831755), ('Ccdc30', 35.32450379998639), ('Abhd4', 29.939782109330636), ('Desi2', 24.051911079210157), ('Evl', 32.3012188370167), ('Naa30', 7.157445697276921), ('Csnk1e', 10.964952398834852), ('Hs2st1', 30.498239681614937), ('Hdgf', 27.258575918532333), ('Rassf3', 22.218763674640293), ('Dennd5a', 54.46585363204962), ('Slc7a1', 159.8408966516496), ('Styxl1', 8.848827907484553), ('Cbx1', 70.70692022661822), ('Malt1', 129.9341203924399), ('Stt3b', 16.5594071384766), ('Strn3', 55.07066707502592), ('4930412C18Rik', 8.157132022234007), ('Ndc1', 9.32197767435511), ('Eif2s2', 32.0312889751159), ('Anks1', 10.277571757193838), ('Slc6a15', 15.509773714805512), ('Uba6', 19.810207809006133), ('Apbb2', 24.90806481927176), ('Actr10', 7.325026009403744), ('Canx', 50.53052116354388), ('Rnf168', 10.852424219455033), ('Sympk', 23.27914608270101), ('Nwd2', 12.653030977806548), ('Msmo1', 29.713001567189497), ('Mier1', 86.11994579891972), ('Dnajb9', 38.46184642797967), ('Rpl35a', 54.54131643871412), ('Ankrd11', 68.66621853515294), ('Ist1', 9.340028092140548), ('2610042L04Rik', 17.32089646046929), ('Fbxl20', 30.17796720289814), ('Cnbp', 26.984996576910028), ('Adnp', 23.446543661293877), ('Ndst2', 12.185369463709158), ('Tnrc6b', 67.54451392767511), ('Ccdc50', 33.18676340536081), ('Malat1', 42.02754845125123), ('Atp2c1', 57.97130712293771), ('Mbip', 8.621925889380627), ('Cacybp', 8.151343730930352), ('Usp2', 27.95915595423728), ('Sec61a2', 21.972973561666304), ('Crcp', 46.427556131361385), ('Cept1', 7.0961619687575), ('Npr1', 38.76546638020312), ('Chmp4b', 30.267087805266563), ('Mrpl52', 19.08503448342941), ('Ilkap', 32.23094152620101), ('Wasf2', 12.779694227146669), ('Mga', 67.22087902918507), ('Pisd-ps2', 23.492983092041115), ('Map2k6', 11.783782472940704), ('Gsap', 13.491004994608932), ('Hmbox1', 34.75809227565518), ('Prox1', 24.03580761574492), ('Xrn1', 58.75621692724165), ('Mob4', 69.59854571627329), ('Pld2', 10.837165679323784), ('Gab1', 7.660963485274445), ('Setd1b', 49.31011374024288), ('Kcnq3', 52.86514625939343), ('Acot12', 9.310881520633506), ('Cpe', 80.20984643269753), ('4833422C13Rik', 34.53017491608331), ('Nsd1', 101.3704288302376), ('Ints12', 25.77471437522072), ('Prep', 8.052322703962007), ('Msh6', 35.422883231002906), ('Ypel5', 16.480520294852756), ('Dmpk', 26.72635950739216), ('Zfp318', 10.830603458253844), ('Pcdh10', 8.166770130803506), ('Rabggtb', 37.05462348858072), ('Arhgef37', 7.599189404566458), ('Dlg1', 33.60284898191205), ('3110056K07Rik', 32.961473261142295), ('Rbm12', 9.938722771090664), ('Ptdss1', 18.56509314908508), ('Glrb', 25.807928815943512), ('Baiap2l1', 9.967751220661787), ('Stpg1', 16.37517720156061), ('Nbn', 9.87277154159437), ('Ubac2', 13.011913730341346), ('Cdc73', 76.88430399056229), ('Chek1', 30.30782252075608), ('Fbxo34', 14.008518629401657), ('Ezr', 13.80732789893648), ('Sil1', 47.252367851908936), ('Smyd2', 41.415183891892966), ('Zfp24', 74.25634305519631), ('Pkm', 11.319898301843097), ('Slc41a1', 20.012172518547), ('Golph3', 62.319958594366014), ('Rnf152', 18.342026476292112), ('Stk3', 111.08951881075588), ('Cnot1', 129.27196785770286), ('Prkcb', 9.935017254933786), ('Ncapd2', 9.29734284077406), ('Klf3', 64.84103675467784), ('Dock7', 21.86577018408298), ('Prdm10', 19.18370668784478), ('Tnrc6c', 36.59555568489402), ('Sec24b', 48.83754577477684), ('Haus4', 19.90085099817617), ('Nutf2', 10.266264854293414), ('Tubgcp3', 10.634461883665717), ('Sbf1', 7.967940728013947), ('Glrx3', 8.516943435492257), ('Dis3l2', 33.25614654152526), ('Ncoa1', 34.72412654739283), ('Zhx2', 69.75187632870043), ('Erbin', 105.13555572517303), ('Anapc1', 19.78615337760314), ('Abcc4', 10.456167799396704), ('Ipo7', 44.56399058697901), ('Dyrk2', 23.707218884159488), ('Igsf9b', 7.463236335087043), ('Etv4', 39.0214851343434), ('Zfp410', 16.288812708919227), ('Usp7', 29.34218849073209), ('Mb21d2', 10.127771315535938), ('Mdfic', 42.72671494408381), ('Cks2', 10.905759763164122), ('Nectin1', 28.012189914606783), ('Suz12', 29.43296526928768), ('Jpx', 32.98827919248213), ('Fam206a', 26.47453121247103), ('Casp8ap2', 12.909933929659902), ('Trove2', 18.12560131339613), ('Pfkfb3', 27.16359109930669), ('Pus7l', 8.688619595622397), ('Casp3', 10.724240319834164), ('Dnmt3a', 59.95325460850169), ('Lmnb1', 23.134461866553043), ('Stat6', 28.133153395170638), ('Myh10', 10.051477785597092), ('Slc7a7', 9.74332632780662), ('Acvr1', 47.89946620282993), ('Metap2', 52.3876919334008), ('Atl3', 30.97120871113375), ('Slx4ip', 37.742837527663234)]",3798
Rarg,tfdimers__MD00366,0.12033036571528323,3.142556952764627,5.48447e-06,0.973799,gene is orthologous to ENSG00000172819 in H. sapiens (identity = 97%) which is annotated for similar motif tfdimers__MD00368 ('M00963_forward_3_M00378_forward dimer: T3R / Pax-4'; q-value = 5.48e-06),"frozenset({'activating', 'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Rdx', 7.973638380066762), ('Rabgap1l', 19.90053202950157), ('Rc3h1', 12.285614000028014), ('Ube3a', 10.921153805244426), ('Fer', 10.951600302151608), ('Ncoa2', 7.194928772378384), ('Stag1', 18.45956500888725), ('Kansl1', 7.320682189292121), ('Cep83', 10.042137424894506), ('Dleu2', 19.851023403240035), ('Zfr', 9.43657337227788), ('Zhx3', 11.153140506531225), ('Ap1s2', 10.526452110460276), ('Pde5a', 15.076591944112655), ('Pdcd10', 8.67113715773098), ('Arap2', 27.549452930155866), ('B130024G19Rik', 7.621418603155301), ('Ino80d', 11.799699849008176), ('Zmym2', 9.591118901783918), ('Scmh1', 7.1753783717430135), ('Wdfy3', 21.25243955802788), ('Hecw2', 80.77403758925752), ('Ankrd11', 9.709613813381946), ('Itsn2', 12.87705614429723), ('Diaph2', 16.74517059186666), ('Lpar1', 9.917091564498296), ('Fmr1', 7.187671195173156), ('Fli1', 112.9021371395494), ('Jak1', 12.873426171995256), ('Rassf3', 13.535308559691993), ('Inpp4b', 78.04240599951122), ('Prkg1', 14.788068272948282), ('Ndfip2', 7.663790287066109), ('Cdc42se2', 7.264681415165279), ('Strn3', 14.19297190632926), ('Man1a2', 8.101236191308757), ('Map2k4', 10.883732196182846), ('Ptpn12', 7.895661068964666), ('Ndel1', 19.24709053880323), ('Erbin', 12.848308809802573), ('Dennd4c', 7.039173361642991), ('Snx13', 9.359990605522391), ('Rrbp1', 10.95713834210708), ('Spats2l', 20.87109957727669), ('Efnb2', 7.739166686250311), ('Cep112', 8.767285805499696), ('Cnot4', 7.355189432122981), ('Pik3cb', 10.7917959692695), ('Mob4', 9.924715417431532), ('Adk', 10.90461035100793), ('Plekhg1', 23.117945974358275), ('Bcl2l1', 40.86491311345065), ('Magi1', 8.832182781870749), ('Rap1a', 13.63581048305022), ('Slc38a2', 15.618363440648322), ('Fbxl7', 13.844588252413663), ('Ica1', 28.72991150832538), ('C430049B03Rik', 9.475692453035364), ('Spry1', 12.659989580594296), ('Rnf141', 8.334804001360103), ('Snrk', 7.649148163869192), ('Stxbp6', 8.15219419031062), ('Etv1', 10.145680397958698), ('Prpf39', 14.370508818723552), ('Apbb2', 81.04513502491653), ('Cdc14a', 53.72025724724191), ('Shank3', 127.5180120705813), ('Cnot6l', 8.302575733669203), ('Ctnnbip1', 13.957541866900684), ('Sdk1', 9.152079058897126), ('Fgd6', 10.523443935832196), ('Dennd1a', 8.575271288962517), ('Tshz3', 68.1572251159827), ('Tasp1', 9.002471357575347), ('Hdx', 10.34491790779393), ('Ptk2', 15.678670021037474), ('Son', 10.148853553141938), ('Pan3', 17.6275867111782), ('Dnajc1', 10.198542696657071), ('Stox2', 21.268370987126147), ('Mdfic', 10.518549130626084), ('Qk', 8.784022614495083), ('Lta4h', 9.576813059648046), ('Fnip2', 37.86624906564672), ('Entpd5', 7.517280627293659), ('Ern1', 11.56853943824884), ('Cdk16', 15.503843224537585), ('Paip1', 16.70913607810072), ('Kcnk9', 10.195274236156992), ('Abcc5', 8.295858857015194), ('Krit1', 7.678070902010687), ('Ckap4', 8.20940971004477), ('Exoc4', 8.0730700187683), ('Rnf14', 12.706164285667493), ('Pspc1', 10.45137797235696), ('Abcb1b', 8.371610802395335), ('Prkch', 152.65135602936255), ('Snx12', 7.34465099736772), ('Ptprb', 113.86272541901992), ('Pld2', 9.972714796069033), ('Slx4ip', 9.034254873942642), ('Jam2', 32.50363230247059), ('Snap23', 20.31772753574376), ('Rarg', 1.0), ('Sil1', 7.0766246835376725), ('Pde7b', 14.617951753693957), ('Ankrd6', 16.370399270965414), ('Ltbp1', 37.62637521505592), ('Cyb5r4', 11.303972554200582), ('Brip1', 8.272121233860329), ('Dennd3', 49.31405930586581), ('Acer2', 26.90495020655058), ('Myo1d', 9.490614848475143), ('Prr14', 11.336259263417377), ('Arhgef15', 68.07641560460557), ('Prex2', 84.58152730917156), ('Dyrk1a', 7.3051021383248), ('Bicc1', 7.755529119233306), ('Tle4', 10.79058524640549), ('Evl', 12.001551649065744), ('Dtnb', 11.64832017216884), ('Lrch1', 38.76820430914093), ('Fam122a', 8.459265592979737), ('Suco', 10.90437557016123), ('Ebf1', 7.553042959171551), ('Wars', 14.141207080292313), ('Mpzl1', 7.527535256801326), ('Tgtp1', 11.58945622492702)]",4959
Rarg,tfdimers__MD00569,0.11725728084722586,3.016452651279566,4.04477e-08,0.982379,motif similar to tfdimers__MD00368 ('M00963_forward_3_M00378_forward dimer: T3R / Pax-4'; q-value = 4.04e-08) which is annotated for orthologous gene ENSG00000172819 in H. sapiens (identity = 98%),"frozenset({'activating', 'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Ncoa2', 7.194928772378384), ('Ube3a', 10.921153805244426), ('Rdx', 7.973638380066762), ('Fer', 10.951600302151608), ('Zmym2', 9.591118901783918), ('Stag1', 18.45956500888725), ('Rc3h1', 12.285614000028014), ('Zfr', 9.43657337227788), ('Kansl1', 7.320682189292121), ('Rabgap1l', 19.90053202950157), ('Ino80d', 11.799699849008176), ('Cep83', 10.042137424894506), ('Dleu2', 19.851023403240035), ('Scmh1', 7.1753783717430135), ('Ap1s2', 10.526452110460276), ('Pde5a', 15.076591944112655), ('Pdcd10', 8.67113715773098), ('Wdfy3', 21.25243955802788), ('Zhx3', 11.153140506531225), ('Itsn2', 12.87705614429723), ('B130024G19Rik', 7.621418603155301), ('Ankrd11', 9.709613813381946), ('Dennd4c', 7.039173361642991), ('Prkg1', 14.788068272948282), ('Magi1', 8.832182781870749), ('Diaph2', 16.74517059186666), ('Fmr1', 7.187671195173156), ('Hecw2', 80.77403758925752), ('Fbxl7', 13.844588252413663), ('Stxbp6', 8.15219419031062), ('Rrbp1', 10.95713834210708), ('Cdc42se2', 7.264681415165279), ('Jak1', 12.873426171995256), ('Map2k4', 10.883732196182846), ('Strn3', 14.19297190632926), ('Hdx', 10.34491790779393), ('Etv1', 10.145680397958698), ('C430049B03Rik', 9.475692453035364), ('Ndfip2', 7.663790287066109), ('Efnb2', 7.739166686250311), ('Inpp4b', 78.04240599951122), ('Man1a2', 8.101236191308757), ('Rassf3', 13.535308559691993), ('Cnot4', 7.355189432122981), ('Snx13', 9.359990605522391), ('Rap1a', 13.63581048305022), ('Lpar1', 9.917091564498296), ('Rarg', 1.0), ('Arap2', 27.549452930155866), ('Ndel1', 19.24709053880323), ('Erbin', 12.848308809802573), ('Bcl2l1', 40.86491311345065), ('Fli1', 112.9021371395494), ('Plekhg1', 23.117945974358275), ('Stox2', 21.268370987126147), ('Spry1', 12.659989580594296), ('Prpf39', 14.370508818723552), ('Rnf141', 8.334804001360103), ('Slc38a2', 15.618363440648322), ('Dyrk1a', 7.3051021383248), ('Ptk2', 15.678670021037474), ('Adk', 10.90461035100793), ('Cep112', 8.767285805499696), ('Son', 10.148853553141938), ('Ptpn12', 7.895661068964666), ('Dennd1a', 8.575271288962517), ('Lta4h', 9.576813059648046), ('Mob4', 9.924715417431532), ('Ica1', 28.72991150832538), ('Cdc14a', 53.72025724724191), ('Spats2l', 20.87109957727669), ('Cnot6l', 8.302575733669203), ('Tshz3', 68.1572251159827), ('Mdfic', 10.518549130626084), ('Ctnnbip1', 13.957541866900684)]",1995
