TF	target	importance
Thrb	Slc20a2	108.79729228770117
Thrb	Zfp207	108.61877692291262
Thrb	Nipbl	108.39320644645154
Thrb	Zfp398	107.61424068012266
Thrb	Prune2	107.59378265168651
Vdr	Syn2	107.32410186146255
Thrb	Cald1	106.52388300797192
Thrb	Sh2d4a	105.94236732560486
Thrb	Coq8b	105.89211323652921
Vdr	Snap91	105.67078003945095
Thrb	Hectd1	105.44086449203836
Thrb	Pitpnm2	105.22987682632612
Thrb	Dlg1	105.1758261595028
Elf2	Erbin	105.13555572517303
Thrb	Rab3gap2	105.10732832927464
Elf2	Akr1b10	104.79925052852084
Elf2	Kpna3	104.7234018801483
Elf2	Dennd4c	104.49846356147218
Thrb	Megf8	104.33549145343589
Thrb	Adk	104.13742765155935
Thrb	Diaph2	103.95406789087426
Vdr	Srrm3	103.36052142785016
Elf2	Trip12	103.17880621881389
Vdr	Dlgap2	103.04048160398337
Thrb	Paxbp1	102.27212231592777
Rarg	Adgrl4	101.66204173228967
Thrb	Ascc2	101.43161436809851
Elf2	Nsd1	101.37042883023761
Thrb	Ptges	100.85475551171568
Thrb	Cnot1	100.83674388666174
Thrb	Slc23a2	99.82523383816743
Elf2	Diaph2	99.71185224587745
Elf2	Kcnq1ot1	99.51745543603774
Thrb	Epg5	99.44567844353531
Thrb	Atl2	99.20878299554049
Thrb	Pik3c2g	98.94870778689679
Thrb	Gm39526	98.72700660959472
Thrb	Rab2a	98.70897293208476
Thrb	Nfyc	98.43523236395616
Vdr	Prune2	98.39930574896441
Elf2	Hunk	98.279184349325
Rarg	Vwa3a	98.1969096914219
Thrb	Gm14325	98.08973382326953
Elf2	Zfr	97.19408965531866
Thrb	6430590A07Rik	97.06102924642478
Thrb	Epb41	96.98072631070264
Thrb	St6galnac3	96.62180084295663
Thrb	AC132251.1	96.25752372144733
Thrb	Notch2	96.25640177753183
Thrb	Deptor	95.94959640689464
Thrb	Gm12216	95.78413828644231
Elf2	Sox5	95.69479833644809
Thrb	Kif1c	95.51321754467712
Thrb	Rabep2	94.96704521175468
Elf2	Map3k1	94.86029873197276
Thrb	Mapk13	94.75793306577836
Elf2	Kif13b	94.72954869139636
Rxrg	Rnf152	94.42290549428128
Thrb	Nceh1	94.36888759435669
Thrb	Ncoa2	94.32260566350556
Elf2	Mpdz	94.2633414797251
Thrb	Fry	94.18015159679061
Rarg	Calcrl	94.13681149339827
Vdr	Osbpl6	94.0890880218185
Thrb	Eda	93.8520003782782
Thrb	Aplp2	93.7291252806623
Vdr	Hand2os1	93.56387935148334
Rarg	Notch4	93.47429550690691
Thrb	Man1a2	93.33138751203708
Elf2	Ptprj	93.29505412718055
Thrb	Ggact	93.28681759828243
Elf2	Pan3	93.24840164401297
Thrb	Gria3	92.89531803079753
Elf2	Cacna1h	92.69883968778323
Thrb	Cd93	92.6761145360903
Thrb	Clk1	92.52468871852976
Thrb	Bag3	92.31403245656361
Thrb	Mark3	92.19234296046231
Elf2	Ppp1r9a	92.06623805811525
Vdr	Pcsk1	91.81198683905843
Thrb	Plekhg1	91.77587646270887
Vdr	Shank1	91.61399462962495
Thrb	Gm29554	91.5052460946946
Elf2	Usp9x	91.50295922150333
Thrb	Srsf2	91.36132070337149
Thrb	N4bp1	91.03884380826428
Elf2	Agtr1b	90.89735381099202
Thrb	Pde5a	90.81583363513069
Thrb	Zfyve9	90.80444140370376
Rarg	Stab1	90.76637972779538
Thrb	Unc13c	90.70380636289778
Thrb	Trip11	90.68707010823724
Elf2	Gm43782	90.53086445183497
Elf2	Sntb2	90.46238812998696
Thrb	Gm14326	90.45093814426012
Thrb	Rtn4	89.92679520539117
Elf2	Cep112	89.70869372925334
Thrb	Brwd1	89.49177506319836
Thrb	Phf10	89.4010010528398
Thrb	Rabl6	89.31430179379949
Thrb	BC005537	89.13373664062661
Thrb	Id2	89.08005524339266
Vdr	Stac	88.97852707706679
Nr2f1	Pde10a	88.94134208418293
Elf2	Phlpp2	88.85772864117958
Elf2	Kansl1	88.6365929450307
Thrb	Ncor2	88.59272814118927
Thrb	Nrd1	88.51336849075093
Elf2	Zeb1	88.39451774162688
Vdr	Wnk2	88.37213043275058
Thrb	Ralgapa1	88.32562557946441
Thrb	Ube2f	88.25162417233642
Elf2	Mark3	88.10625865912539
Thrb	Glce	87.9980235171947
Thrb	Tdrd3	87.8993412030138
Thrb	Vegfa	87.64887219230759
Elf2	Zfp536	87.48681430229537
Thrb	Arid1b	87.45543451530385
Vdr	Jakmip2	87.117452048149
Elf2	Parg	86.91756954551448
Thrb	Atf1	86.88942898441267
Elf2	Xkr6	86.75369668065275
Thrb	Fbxl20	86.74680328176252
Thrb	Pgm1	86.7455276128177
Vdr	Rab3b	86.66556402062892
Vdr	Cacna1d	86.659171843535
Elf2	Nop58	86.44502275222459
Thrb	N4bp2l2	86.39972403752462
Thrb	Ttyh2	86.38859513106775
Elf2	Mier1	86.11994579891972
Thrb	Ptpn23	85.95921490419745
Thrb	Scd2	85.91146687232356
Thrb	Jak1	85.83115525050339
Rarg	Erg	85.77379471887093
Nr2f1	Diaph2	85.53597192683864
Thrb	Parg	85.49192419082755
Elf2	6330411D24Rik	85.45676146660804
Thrb	Fer	85.44343113769244
Thrb	Txnrd1	85.0053287362668
Elf2	Washc4	84.97097089299078
Thrb	Cwf19l2	84.96877731949144
Elf2	Gna14	84.81514435450337
Rarg	Prex2	84.58152730917156
Vdr	Fam155a	84.51706683151713
Thrb	Pkn1	84.49661460621574
Thrb	Las1l	84.35437907521512
Rarg	Gm12002	84.04597009736692
Thrb	Zfp280d	83.93795321664318
Thrb	Mtor	83.85116233390683
Elf2	Plekhb2	83.70064299931367
Thrb	Rc3h1	83.6527698186882
Vdr	Unc79	83.62422240862955
Thrb	Ube3a	83.55538652109377
Thrb	Twf2	83.4838463887785
Thrb	Gas5	83.44474032659299
Elf2	Usp34	83.43229477408761
Elf2	Lrch2	83.38725333170966
Elf2	Taf15	83.37933854205293
Elf2	Trim35	83.23488048756944
Thrb	Armc8	83.02795041146086
Thrb	Hoxb6	82.85563750348793
Thrb	Tomm70a	82.66889314714005
Thrb	Azi2	82.58674170741253
Thrb	Apc	82.53004403695
Vdr	Map6	82.45814328819718
Thrb	Nkain3	82.4520238770089
Elf2	Tent2	82.21789820396447
Thrb	Khdc4	82.14117435748574
Elf2	Paip1	82.08485354368155
Thrb	Wdr7	82.05328606375171
Thrb	Gm34907	82.03988594635854
Elf2	Smarca5	81.87994268933038
Thrb	Pde10a	81.7890893915969
Thrb	Gm14296	81.65803244296514
Vdr	Srgap3	81.62999446272224
Elf2	Bcar3	81.62095924549858
Thrb	Dcaf5	81.58995926764804
Vdr	Gng4	81.57938134755838
Thrb	Zfp148	81.4591526332218
Thrb	A530013C23Rik	81.3891044733814
Elf2	Snhg1	81.37425703637075
Thrb	Col4a5	81.2272004486799
