Regulator	Target	MI	pvalue
Tbx5	Vit	1.6369291958608834	1.6986412276764895E-10
Gli2	Folr1	2.1187810020845834	4.737510383989729E-7
Mkx	Akr1cl	0.8678539421576401	2.1949162487544527E-5
Spi1	Depdc1a	1.6529370041143523	4.737510383989729E-7
E2f7	D830026I12Rik	1.584727894097636	2.1949162487544527E-5
Cbfa2t3	Thsd1	1.6192571694330877	1.6986412276764895E-10
E2f7	Gm45323	1.8193014683177111	9.044750415299063E-4
Gata4	Prrx1	1.4473774557189318	4.737510383989729E-7
Zmynd15	H2-Ea-ps	1.642119039456535	9.044750415299063E-4
Prrx1	Fbln5	2.0049751848759785	1.6986412276764895E-10
Fosb	Gm12877	1.6472837778275307	4.737510383989729E-7
Bcl6b	Lrrc8c	1.6004036425760453	9.229284003708926E-9
Zfp462	Gucy1b1	0.8261858705396261	0.03263817847320993
Tfap2b	Scn9a	1.8377884602130392	9.229284003708926E-9
Runx3	Tnfsf10	2.073392504954151	9.044750415299063E-4
Zmynd15	Aim2	1.8478916789022537	9.229284003708926E-9
Ebf1	Bmp6	0.9929127368577041	9.044750415299063E-4
Esr1	Grik1	1.4734673157858786	2.1949162487544527E-5
Gli1	Ucp3	1.873983832030388	0.03263817847320993
Nkx2-2	Gm5431	2.2064277147583815	0.03263817847320993
Mafb	Mrap2	2.062379434450219	1.6986412276764895E-10
Pknox2	Ldlr	1.8441455395025037	4.737510383989729E-7
Fosb	Apoa2	1.5546311714659555	1.6986412276764895E-10
Ets2	Mmp13	1.7414094989201425	9.044750415299063E-4
Gli2	Gm8369	1.6115495193554465	9.044750415299063E-4
Irf5	Mir142hg	2.1941751725825034	0.03263817847320993
Casz1	Shisa6	1.501070507231142	2.1949162487544527E-5
Ahr	Gm26522	1.7660216793278398	1.6986412276764895E-10
Nkx2-2	Vstm4	1.596831504691166	0.03263817847320993
Sox6	Ces1d	1.2816459028058234	9.044750415299063E-4
Ikzf1	Stap1	2.09678175911338	9.044750415299063E-4
Irf5	Gna15	2.03742328244565	1.6986412276764895E-10
St18	Pcsk1	2.245142735191108	2.1949162487544527E-5
Nrk	Lama3	1.3334628752461368	9.229284003708926E-9
Tfap2b	Scn2a	2.1657026907470494	1.6986412276764895E-10
Zdhhc14	Scn4a	1.4434491431415775	1.6986412276764895E-10
Egr1	Dock11	1.8495422847988756	1.6986412276764895E-10
Mef2c	Maf	1.2449585754471775	9.044750415299063E-4
Ahr	Dcstamp	1.785652240899394	0.03263817847320993
Gli1	Emilin2	2.197085276598594	1.6986412276764895E-10
Nkx2-2	Rpap3-ps2	3.066639483821309	9.229284003708926E-9
Runx3	Kcnu1	1.4774968336783305	0.03263817847320993
Cux2	9630002D21Rik	1.4648161363948473	0.03263817847320993
Bcl6b	Lmo2	1.7021205704865434	9.044750415299063E-4
Tbx5	Gm12153	1.259615652692983	2.1949162487544527E-5
Bnc1	Gm765	1.6811620912437237	4.737510383989729E-7
E2f7	Syn1	1.6892100805399495	0.03263817847320993
Pax8	Lgals12	1.6339350700393795	9.229284003708926E-9
Notch4	Otulinl	1.896752050829286	1.6986412276764895E-10
Notch1	Epsti1	1.6499833128427501	2.1949162487544527E-5
Meox2	Sparcl1	1.9581281996496334	1.6986412276764895E-10
Pax2	Gm28653	2.5795965504311793	0.03263817847320993
Mlxipl	Tuba1a	1.3772349072673673	0.03263817847320993
Pax8	Cyp2b9	2.0899948573758174	2.1949162487544527E-5
Prdm16	Cyp2d26	1.4039590105030177	9.229284003708926E-9
Nr5a2	Gpr141	1.6727553916099203	2.1949162487544527E-5
Lyl1	Csf1r	2.164785794170785	2.1949162487544527E-5
Vav1	Nlrp3	2.1454171224902785	1.6986412276764895E-10
Cux2	Slc38a4	1.686089723259974	1.6986412276764895E-10
Nkx2-2	Ttc25	2.3071599286857127	2.1949162487544527E-5
Nr1i3	Lipc	1.506089181525397	0.03263817847320993
Zdbf2	Spink13	1.7391549795070251	9.044750415299063E-4
Klf5	Serping1	1.5075418652318924	4.737510383989729E-7
Irf4	Mlxipl	1.3965879727096544	9.229284003708926E-9
Tcf15	Jam2	1.30848729325661	4.737510383989729E-7
Sox17	Vav3	1.7131404579964393	9.044750415299063E-4
Irf4	Fgf7	1.1881551503800734	0.03263817847320993
Rorb	Slc25a21	1.6288880637572096	2.1949162487544527E-5
Klf5	Pcdh7	1.4781241452542015	2.1949162487544527E-5
Klf5	Cpxm2	1.174560097847907	4.737510383989729E-7
Ahr	BC035044	1.7113104869466151	2.1949162487544527E-5
E2f7	C130073E24Rik	1.6063398416420758	0.03263817847320993
Irx3	Traf3ip3	1.975647483618231	1.6986412276764895E-10
Nkx2-2	Clec9a	1.8008092946422731	9.229284003708926E-9
Klf2	Hba-a2	1.19934112387261	0.03263817847320993
Mafb	Ptger2	1.312772394567964	4.737510383989729E-7
Runx1t1	Col4a4	1.4534054198451276	2.1949162487544527E-5
Pax8	Hnf1b	2.510646943677086	9.229284003708926E-9
Zdhhc14	H2-DMb1	1.3530036347833192	9.044750415299063E-4
Nr1i3	Cpb2	2.4304188756447767	9.229284003708926E-9
Runx3	Kcna1	2.210070201046623	1.6986412276764895E-10
Top2a	Col4a6	1.7327791396374732	1.6986412276764895E-10
Irx3	Cd300lb	1.8725004452025744	4.737510383989729E-7
Tfcp2l1	Myh8	2.2615549656776692	2.1949162487544527E-5
Tfcp2l1	Myh1	2.1962761439314233	0.03263817847320993
Chd5	L1cam	2.094162873938254	9.229284003708926E-9
Nr5a2	2610203C22Rik	1.8624821402561678	9.229284003708926E-9
Mafb	Sytl2	1.7195064963509812	9.229284003708926E-9
Irf4	Gabrb2	1.507865045446668	4.737510383989729E-7
Tcf15	Trpc4	1.5191799546709248	1.6986412276764895E-10
Pax8	Gja5	2.320295978456501	0.03263817847320993
Gli2	Mmd	1.3811642445506915	9.044750415299063E-4
Nkx2-2	Clec7a	2.352244583460258	9.044750415299063E-4
Fosb	Specc1	1.791802847874477	1.6986412276764895E-10
Isl1	H2-DMb1	2.2462946380039712	1.6986412276764895E-10
Zmynd15	Slc14a1	1.64458597248755	4.737510383989729E-7
Fosb	Tuba1a	1.7927290502762883	1.6986412276764895E-10
Myt1l	Oasl2	1.2336089953677143	0.03263817847320993
Runx1t1	Luzp2	1.4552074427551347	1.6986412276764895E-10
Rarb	Nostrin	1.5250131139879142	2.1949162487544527E-5
Myt1	Tbc1d8	1.2052245645793687	4.737510383989729E-7
Meox2	Cpt1b	1.4919045249611407	0.03263817847320993
Klf5	Gm16263	1.6756376220079623	1.6986412276764895E-10
Myt1	Ldlr	1.7914950832467063	0.03263817847320993
Myt1l	Mdga2	1.8081747967382156	1.6986412276764895E-10
E2f7	Slc6a5	1.6568148416824164	1.6986412276764895E-10
Nr4a2	Ckmt2	1.9861161233767608	4.737510383989729E-7
Npas3	Sorbs2	1.1444990243572295	1.6986412276764895E-10
Egr3	Ikzf3	1.6915450074553735	9.229284003708926E-9
Atad2	Brip1	2.222010610667574	1.6986412276764895E-10
Nkx2-2	Gipc2	2.2604136639355503	9.044750415299063E-4
Casz1	Lrfn2	1.6076749350693373	2.1949162487544527E-5
Zfp385b	Gclc	1.353802349705249	4.737510383989729E-7
E2f7	Dgkk	1.70646785701665	2.1949162487544527E-5
Gata4	Gli2	1.712918945913834	2.1949162487544527E-5
Aff3	Trpc6	1.633691709225652	9.044750415299063E-4
Vav1	Itgax	2.178161345696742	1.6986412276764895E-10
Vav1	Itgb2	1.901297161115495	9.044750415299063E-4
Npas2	Flrt2	1.4587689504121233	0.03263817847320993
Tfec	Unc5b	1.7197959450970424	4.737510383989729E-7
Meox2	Slc28a2	1.8848409871213314	0.03263817847320993
Tead4	Cd53	2.2304692703394724	9.044750415299063E-4
Spi1	Ifi47	1.848083204122183	1.6986412276764895E-10
Irf4	Gpat3	1.2574973298286243	2.1949162487544527E-5
Prdm16	Bmper	1.399070788111641	9.044750415299063E-4
E2f7	Slc18a1	1.533008285602241	2.1949162487544527E-5
Spi1	Aim2	1.8211001847645474	9.044750415299063E-4
Ebf2	Ebf3	1.6897216375091637	4.737510383989729E-7
Prrx1	Klf5	1.524678833332249	9.229284003708926E-9
Sox17	H2-Aa	2.0343035508023477	1.6986412276764895E-10
Npas3	Cacna2d3	1.2665547777216521	2.1949162487544527E-5
Pax2	Irf4	1.3922726406686163	9.044750415299063E-4
Isl1	Nrgn	2.1655240829877096	0.03263817847320993
Spi1	Gm47847	1.8503096380176036	1.6986412276764895E-10
Klf2	Cysltr1	1.7131077343016934	0.03263817847320993
Ppara	Slpi	1.576951405099606	1.6986412276764895E-10
Tshz3	Maml2	1.163796806239587	9.229284003708926E-9
Isl1	Nrg1	1.7518757970894268	2.1949162487544527E-5
Egr3	Chst7	1.6149049760058485	2.1949162487544527E-5
Irf5	Adgrg5	1.719586653963963	0.03263817847320993
Notch3	Cyp4a14	1.5435280576160022	9.229284003708926E-9
Nr5a1	Cyp21a1	0.6429458602470691	2.1949162487544527E-5
Zfp536	Kctd8	1.6329590076671807	0.03263817847320993
Runx1t1	Col1a2	1.4132087130283655	9.229284003708926E-9
Rorb	Slc7a8	1.70257380528114	4.737510383989729E-7
Nkx2-2	Grip2	2.697921914388833	2.1949162487544527E-5
Egr3	Chst3	1.4777999666830977	0.03263817847320993
Klf5	Cfd	1.383661944880625	9.044750415299063E-4
Hnf4a	Mybpc1	1.6750717628422993	1.6986412276764895E-10
Pax8	Ampd1	2.2212258950636743	9.229284003708926E-9
Isl1	Scn2a	1.7190601678620596	9.229284003708926E-9
Tfec	Tenm1	1.5793973783515274	9.044750415299063E-4
Spi1	Gm5431	1.7023505233634397	9.229284003708926E-9
Tfcp2l1	Rgs5	1.3843988790122772	9.044750415299063E-4
Irf4	Cyp2b10	1.7550532393296199	1.6986412276764895E-10
Vav1	Fcgr1	1.938137127454049	4.737510383989729E-7
Pax2	Glul	1.8764904821850337	2.1949162487544527E-5
Vav1	Fcgr3	1.8517867270602952	2.1949162487544527E-5
Irf4	Slc36a2	1.6050668373221515	9.229284003708926E-9
Ikzf1	Grap2	2.1600214241813513	9.229284003708926E-9
Vav1	Wdfy4	2.0809368349109554	4.737510383989729E-7
Tbx20	Rad51b	1.5058231504103632	0.03263817847320993
Klf5	Fxyd2	1.424392098771526	0.03263817847320993
Zfp804a	Gm4593	1.6673927976889182	9.044750415299063E-4
Irf4	Nampt	1.274795900379416	4.737510383989729E-7
Tfap2b	Rian	1.0217402846833	4.737510383989729E-7
Fli1	4933402J07Rik	1.8756203451099083	1.6986412276764895E-10
Mkx	Prkn	0.8435956656699514	0.03263817847320993
Rbpj	Nkx2-2	1.6850397969027608	0.03263817847320993
Prdm16	Myh1	1.6702970834583606	1.6986412276764895E-10
Tfap2b	Gpr176	2.017352979590777	2.1949162487544527E-5
Chd5	Hspa12a	1.6728201336066597	4.737510383989729E-7
Wt1	Abi3bp	1.4213456882547826	1.6986412276764895E-10
Maf	Ctla2a	1.9591260934801245	9.044750415299063E-4
Nr4a3	Kctd16	1.9383195693069353	0.03263817847320993
Hif3a	Rhag	1.6365817435751493	2.1949162487544527E-5
Sox13	Lctl	2.2252731515839024	1.6986412276764895E-10
Lyl1	Traf3ip3	1.9723581236106318	4.737510383989729E-7
Ahr	Chst3	1.8536189561415206	1.6986412276764895E-10
Maf	Sox13	1.803096899122428	4.737510383989729E-7
Gata3	Frmpd1	2.202815176227074	1.6986412276764895E-10
Mlxipl	Slc27a2	1.438652349813604	9.044750415299063E-4
Hnf4a	Cat	1.8057408100326704	0.03263817847320993
Peg3	Fras1	1.6289847520340544	9.044750415299063E-4
Bcl6	Art1	1.3540184901759247	0.03263817847320993
Zfp608	Gm40645	1.2671901869998357	2.1949162487544527E-5
Nkx2-2	Gpr174	2.357802318298083	2.1949162487544527E-5
Chd5	Npy	1.4881047484815813	9.044750415299063E-4
Scand1	Ugt2b36	1.9281562692927532	4.737510383989729E-7
Irx3	Gm15472	2.1295668172177558	1.6986412276764895E-10
Nkx2-2	Gm47547	1.9307553135112827	0.03263817847320993
Mlxipl	Plg	1.6391154549407396	9.229284003708926E-9
Tcf15	Clec12a	1.532625607220325	4.737510383989729E-7
E2f7	Sv2c	1.8326518104872442	1.6986412276764895E-10
Tfec	Gm30382	1.7658525086683288	1.6986412276764895E-10
Top2a	Lockd	2.2317455306165828	1.6986412276764895E-10
Zfp385b	1810064F22Rik	1.5003044152105984	9.229284003708926E-9
Bnc1	Mat1a	1.5493408639725148	0.03263817847320993
Isl1	Eya4	1.773942482903684	4.737510383989729E-7
Nkx2-2	Adcy2	1.7221802220619415	0.03263817847320993
Nkx2-2	Adcy4	1.8593271972049992	2.1949162487544527E-5
Nkx2-2	Adcy5	2.074169516275246	4.737510383989729E-7
Tfec	Arap2	1.8061008474713165	9.229284003708926E-9
Myt1l	Rab3b	2.45633058205698	1.6986412276764895E-10
Ets1	Zc3h12d	2.039146830093299	9.044750415299063E-4
Mkx	Fam129a	1.4236626571467346	9.229284003708926E-9
Ebf2	Gm30173	1.7599204086240776	9.229284003708926E-9
Hif3a	Gm38399	1.6280164146936802	1.6986412276764895E-10
Sox6	Prdm6	1.451749827343431	9.229284003708926E-9
Bcl6b	Emid1	1.6206036947049465	1.6986412276764895E-10
Nkx2-2	Adamts18	2.459408227406176	4.737510383989729E-7
Zfp804a	Spock3	1.898016561245411	4.737510383989729E-7
Zc3h12d	Cyth4	1.9112896280034513	9.044750415299063E-4
Egr1	Slc15a2	1.8129105507376746	9.044750415299063E-4
Bnc1	Igfbp6	1.6661849993829423	9.229284003708926E-9
Irx3	Myh1	2.0405501586468633	0.03263817847320993
Fosb	Vmn2r96	1.5227915437237776	2.1949162487544527E-5
Sox6	Sik2	0.9653123248525292	0.03263817847320993
Irx3	Slc52a3	1.8959006825778009	4.737510383989729E-7
Top2a	Prc1	1.9216049806216517	1.6986412276764895E-10
Tfec	Tmem26	1.472830513779185	2.1949162487544527E-5
Arnt2	Myt1l	1.9582383335720177	1.6986412276764895E-10
Lyl1	Esm1	2.0402539252832548	9.229284003708926E-9
Runx1t1	Itih5	1.2328818445102794	9.044750415299063E-4
Gli2	Heyl	2.27735629983002	4.737510383989729E-7
Ebf3	Ccdc3	1.7817918031776747	9.044750415299063E-4
Irf5	Wdfy4	2.1300499353643505	2.1949162487544527E-5
Bnc1	Slc26a3	1.7598260305114792	1.6986412276764895E-10
Gata4	Grid1	1.5544468144137285	1.6986412276764895E-10
Tfec	Ncr1	1.5471477310814825	0.03263817847320993
Zmat4	Sptb	2.0581513495406925	2.1949162487544527E-5
Irf4	Gc	1.623383316710493	4.737510383989729E-7
Irf5	Fcgr4	1.7546803408413658	4.737510383989729E-7
Hmga2	Lepr	1.3771711150873964	9.044750415299063E-4
Irf4	Gk	1.5739826804105688	9.229284003708926E-9
Vav1	Unc45b	1.7528158064432353	0.03263817847320993
Mlxipl	Upk1b	1.4107254255203672	1.6986412276764895E-10
Fosb	Mmd2	1.3476449045091332	4.737510383989729E-7
Epas1	Cxcr2	1.724178213328131	0.03263817847320993
Egr3	Vwc2	1.8914426509415763	1.6986412276764895E-10
Prrx1	Gab1	1.520002628685222	4.737510383989729E-7
Prrx1	Gab3	1.3756753924240004	0.03263817847320993
Klf2	Apold1	1.6904719610432788	4.737510383989729E-7
Fli1	Plekhg1	1.9050854444910634	4.737510383989729E-7
Mecom	Ccdc88b	1.203338414952324	2.1949162487544527E-5
Zmat4	Gm43305	2.155272201997993	9.044750415299063E-4
Zmynd15	Pilrb1	1.799551794977565	9.229284003708926E-9
Zc3h12d	Grap2	2.00114535853041	9.044750415299063E-4
Irf4	F3	1.6046389221839636	9.229284003708926E-9
Fosb	Lockd	1.5417184513963627	9.044750415299063E-4
Ikzf1	Bank1	2.1390864764324604	1.6986412276764895E-10
Sox11	2010106E10Rik	2.8776358122807144	0.03263817847320993
Foxp2	Tshr	1.402688800047572	0.03263817847320993
Egr3	Pik3c2g	1.2007127085145977	2.1949162487544527E-5
Tsc22d3	Tuba1a	1.5615871534887114	4.737510383989729E-7
Gli2	Gsn	1.4066697264738077	9.229284003708926E-9
Nkx2-2	Adarb1	1.199526414560348	0.03263817847320993
Zmat4	Tmem163	1.680568886895287	4.737510383989729E-7
Ahr	Fcrls	1.7577998268342483	9.044750415299063E-4
Erg	Gm12962	2.062527096842055	2.1949162487544527E-5
Nkx2-2	Gm11427	2.310386954499916	0.03263817847320993
St18	Gm45194	2.1419183516590663	9.044750415299063E-4
Gli2	Tspan18	1.5389499402139435	1.6986412276764895E-10
Irf4	C3	1.522660293092883	9.229284003708926E-9
Ebf3	Hmcn2	1.382117637270702	0.03263817847320993
Zc3h12d	Rasal3	2.044656571847814	2.1949162487544527E-5
Peg3	Nrgn	1.7488520159741447	0.03263817847320993
Tal1	Bcl6b	1.6571949299271063	2.1949162487544527E-5
Slc26a3	Crip1	1.6730151972059928	4.737510383989729E-7
Zfp804a	Gm45881	1.4735808111742275	9.044750415299063E-4
Tfap2b	March11	1.9561039485805196	1.6986412276764895E-10
Ahr	Ms4a1	1.6427731479890575	0.03263817847320993
Slc26a3	Oit3	1.3651910782386891	1.6986412276764895E-10
Vav1	Slamf7	1.9519028761528787	9.044750415299063E-4
Lmo2	Gm39465	1.6293409531804048	1.6986412276764895E-10
Thrb	Gpam	0.9219375615494442	9.229284003708926E-9
Jazf1	Prg4	1.3271080449989399	9.044750415299063E-4
Zfp804a	Tnfrsf21	1.295921298139842	0.03263817847320993
Meis2	Fbxl7	0.3748834351554848	0.03263817847320993
Rarb	Adgrg3	1.5702595121919338	1.6986412276764895E-10
Ikzf3	Sox10	1.522667622117489	9.044750415299063E-4
Tcf15	Gcnt1	1.3282734123297355	9.044750415299063E-4
Nfat5	9630002D21Rik	0.565766979041913	0.03263817847320993
Runx3	Mndal	2.1569410865563903	9.229284003708926E-9
Tsc22d3	Hgf	1.5518369220892987	2.1949162487544527E-5
Prrx1	Pdgfrb	1.4812127465146236	2.1949162487544527E-5
Runx3	Fermt3	1.9888056085799342	2.1949162487544527E-5
Nr4a3	Crhr2	1.8928654553852813	9.044750415299063E-4
Isl1	March11	1.7220388357860612	4.737510383989729E-7
Sox10	Vav1	1.7809207214532072	9.044750415299063E-4
Cers6	Pkia	1.5081904713811256	1.6986412276764895E-10
Klf5	F11	1.4794774425419304	9.229284003708926E-9
Klf5	F10	1.357324207964009	2.1949162487544527E-5
Npas3	Agtr1b	1.4707720912129385	4.737510383989729E-7
Trps1	H2-D1	1.0040470175371634	2.1949162487544527E-5
Zfp385b	Kng1	1.221342261272617	9.044750415299063E-4
Slc26a3	Apoa2	1.2849461908939128	4.737510383989729E-7
Klf2	Ggta1	1.615232081742841	9.044750415299063E-4
Foxp2	Ptn	1.6272017578343225	9.229284003708926E-9
Zmynd15	Kcnj10	1.643103829038931	0.03263817847320993
Meis2	Cyp11a1	0.3613998025346413	0.03263817847320993
Cux2	Apcdd1	1.5154333023304871	0.03263817847320993
Stat4	Nes	1.4788497485294914	9.044750415299063E-4
Tbx20	5330434G04Rik	2.3615532290178973	0.03263817847320993
Nr4a3	Car1	1.9368473919039795	9.044750415299063E-4
Meox1	Crispld2	1.7070021062552807	2.1949162487544527E-5
Ebf1	S1pr1	1.0732876604763706	0.03263817847320993
Casz1	Syt17	2.118658138021598	9.229284003708926E-9
Top2a	Dlgap5	2.0565606654099957	1.6986412276764895E-10
Casz1	Syt16	1.9482692591054487	0.03263817847320993
Klf2	Ptger2	1.7020610080453202	0.03263817847320993
Klf5	Nr3c1	1.3010931821003662	2.1949162487544527E-5
Mafb	Oas3	2.7062033351558217	1.6986412276764895E-10
Irf5	Slc10a6	1.762438438272391	9.044750415299063E-4
Tead4	Cdh5	1.8099766693610995	1.6986412276764895E-10
Top2a	Parpbp	1.71959334765039	9.044750415299063E-4
Zfp804a	Nxph1	1.5590981156630952	0.03263817847320993
Peg3	Scnn1b	1.7744939881410358	1.6986412276764895E-10
Sox10	Ikzf3	1.4937156852818447	2.1949162487544527E-5
Sox10	Icam1	1.965036502484758	1.6986412276764895E-10
Zc3h12d	Stap1	2.14072410508472	2.1949162487544527E-5
Irf5	Fcgr1	1.850211447945872	9.044750415299063E-4
Prdm1	Trpc3	2.049487196617651	1.6986412276764895E-10
Tsc22d3	Retn	1.4695567947330708	0.03263817847320993
Gli1	Ahnak2	1.1413173863816923	0.03263817847320993
Lef1	Gucy1b1	1.332736029471992	9.229284003708926E-9
Ebf3	Thrsp	1.3796751849111077	2.1949162487544527E-5
Zmynd15	Ahr	1.6697749746824322	1.6986412276764895E-10
Notch4	Gpr65	1.7295536692777767	0.03263817847320993
Prrx1	Cacng4	1.4346053900587428	9.044750415299063E-4
Wt1	Selenop	1.3786975021543946	9.044750415299063E-4
Ebf1	Ptchd1	0.9831470693095291	0.03263817847320993
Prrx1	Lama4	1.0480123721305714	9.044750415299063E-4
Lef1	Gucy1a1	1.3106477039406736	4.737510383989729E-7
Rorb	Gm26691	1.6785589543154398	1.6986412276764895E-10
Prdm1	Tnfrsf11a	2.4104827754565092	1.6986412276764895E-10
Hnf4a	Upb1	2.3929624827051956	9.229284003708926E-9
Cbfa2t3	Ptgs1	1.5767036416418603	0.03263817847320993
Tfec	Adgrl2	0.7924684408437662	2.1949162487544527E-5
Sox6	Slpi	1.0141162052290253	4.737510383989729E-7
Ikzf1	Siglece	2.042707095279214	9.044750415299063E-4
Nkx2-2	Oas3	2.058050002420391	9.044750415299063E-4
Runx1t1	Bmp6	1.7747732250574741	1.6986412276764895E-10
Klf2	H2-DMb2	1.819648112024694	2.1949162487544527E-5
Runx1t1	Adamtsl5	1.6741598473202959	1.6986412276764895E-10
Myb	Fam13c	1.5760217491219497	4.737510383989729E-7
Pax2	Ehd2	1.9020882270906796	0.03263817847320993
Fosb	Bnc2	1.7376209108128353	1.6986412276764895E-10
Prdm1	Msr1	2.041621433829071	9.044750415299063E-4
St18	Tbx20	2.402038196157408	1.6986412276764895E-10
Casz1	Hist1h2an	1.6946961472860302	9.044750415299063E-4
Nrk	Ccl19	1.586312726432902	2.1949162487544527E-5
Casz1	Hist1h2ai	1.698800816725435	9.044750415299063E-4
Casz1	Hist1h2ah	1.6279461813215916	0.03263817847320993
Ahr	Cxcr2	1.7336500748600965	1.6986412276764895E-10
Ikzf1	Siglec1	2.0026580218514622	1.6986412276764895E-10
Rorb	Gm26522	1.7247537720377664	4.737510383989729E-7
Notch3	Ugt1a10	1.4467374344717612	9.044750415299063E-4
Atad2	Col4a5	1.6343422700151997	4.737510383989729E-7
Casz1	Fhod3	1.6001421162449816	0.03263817847320993
Gata3	Sidt1	2.0970923988283516	9.229284003708926E-9
Tfec	Gm20754	1.130830184939561	9.229284003708926E-9
Elk3	Plpp1	0.9073889950461327	0.03263817847320993
Vav1	Nlrp1c-ps	1.8658787494552336	9.044750415299063E-4
Nr1i3	A830018L16Rik	2.2230444755634555	4.737510383989729E-7
Irf4	Car5b	1.2193086766804975	0.03263817847320993
Lyl1	Abcg3	1.9653962013629276	4.737510383989729E-7
Nr4a3	Gm13629	1.880028860538376	9.044750415299063E-4
Tal1	Clec4a1	1.8755911992701102	0.03263817847320993
Zmynd15	Cd5	1.6473910586983713	0.03263817847320993
Prdm16	Ebf2	1.8861657905753286	1.6986412276764895E-10
Rorb	Grb14	1.5166357386011857	9.044750415299063E-4
Tfec	Gal	1.7622690160492425	1.6986412276764895E-10
Slc26a3	Aplnr	1.3213989160053587	2.1949162487544527E-5
Mafb	Fhl2	1.7782267329427635	9.229284003708926E-9
Tfec	2310016D03Rik	1.7530429670087997	9.044750415299063E-4
Nkx2-2	Plekha4	1.7817098489758674	9.044750415299063E-4
Runx1t1	Carmn	1.7263873464122292	9.229284003708926E-9
Gli2	Lnx1	1.6160801924042145	9.229284003708926E-9
Klf2	Themis2	2.2797662464883746	4.737510383989729E-7
Tfec	E230029C05Rik	1.6596303117567266	1.6986412276764895E-10
Vav1	P2ry10	1.959381815656765	9.044750415299063E-4
Rarg	Myh1	1.5801506849907434	0.03263817847320993
Hlf	Gm47847	1.908065634872044	1.6986412276764895E-10
Nkx2-2	Slc13a1	2.293250576140076	9.044750415299063E-4
Zfp385b	Cyp2d26	1.3583934398433317	9.229284003708926E-9
Irx3	Adcy4	2.102417485027328	9.229284003708926E-9
Sox11	Cxcr2	2.143700158151289	9.044750415299063E-4
Zfp385b	Galntl6	1.3293611517983082	9.044750415299063E-4
Top2a	Hlf	1.710965696050593	1.6986412276764895E-10
Runx2	Gsta3	1.1231289383689753	0.03263817847320993
Ahr	Dock9	1.1624191719875667	0.03263817847320993
Klf2	Ppp1r16b	1.5660236627461697	9.229284003708926E-9
Casz1	Adamts17	1.5720841354008228	1.6986412276764895E-10
Nr5a2	Fermt3	1.8245061695625615	2.1949162487544527E-5
Lef1	Skap1	1.2357032564863633	0.03263817847320993
Hnf4a	Slc2a2	1.8880154341718827	9.229284003708926E-9
Zfp385b	Egfem1	1.3054040612928215	9.044750415299063E-4
Top2a	Lgi4	1.5103571124118098	9.044750415299063E-4
Hmga2	Gm14066	1.3213100788707575	9.229284003708926E-9
Nrk	Myoz1	1.4393713234022831	9.229284003708926E-9
Nkx2-2	Fgf1	1.4361802320235622	9.044750415299063E-4
Klf2	Plat	1.5353965426884997	9.044750415299063E-4
Tbx5	Krt19	1.5741683950022118	9.044750415299063E-4
Nr1i3	0610040J01Rik	2.1144649948964647	9.044750415299063E-4
Prdm1	Scn7a	1.8406286794171602	9.229284003708926E-9
Runx3	Ifi44	2.1447530392592418	4.737510383989729E-7
Scand1	Ap1s2	1.747791364112355	0.03263817847320993
Tfap2b	Ctnna2	2.3160527462402927	1.6986412276764895E-10
Ets2	Cotl1	1.62962859060003	1.6986412276764895E-10
Cbfa2t3	Slc14a1	1.718402598660635	1.6986412276764895E-10
Pax8	Mybpc2	2.646064807445327	2.1949162487544527E-5
Nr5a2	Gm32688	1.970680959536705	9.229284003708926E-9
Chd5	Grin3a	1.8038300845814592	0.03263817847320993
Irx5	Tek	2.0091711811811503	0.03263817847320993
Myb	Nrgn	2.6489431896123583	4.737510383989729E-7
Pax5	Gm39465	1.444469617379375	4.737510383989729E-7
Sox5	Wnt4	0.7087754849262944	9.044750415299063E-4
Zfp804a	Nrep	1.3839349581666092	4.737510383989729E-7
Tshz2	Rarb	0.786023128254032	4.737510383989729E-7
Prrx1	Gabra3	1.458250992925175	0.03263817847320993
Lef1	Smpx	1.3141607609859398	0.03263817847320993
Irf5	Tmem150b	1.8687413595690958	2.1949162487544527E-5
Tfap2b	Ctnnd2	2.239827622251505	9.229284003708926E-9
Prdm1	Rcsd1	1.82462215105274	9.044750415299063E-4
Zdhhc14	Rhag	1.3675458343213873	9.229284003708926E-9
Isl1	Tgtp2	2.1518130718058988	4.737510383989729E-7
Pax8	Myh8	2.2428185622368995	0.03263817847320993
Hlf	Ect2	1.7727413912413152	4.737510383989729E-7
Nkx2-2	Smtn	2.406247245993567	9.044750415299063E-4
Pax8	Ankrd23	2.4233534039261597	2.1949162487544527E-5
Lyl1	F630028O10Rik	1.9671182243250431	0.03263817847320993
Top2a	Mastl	1.7284470159080692	0.03263817847320993
Stat4	Kel	1.6365977042265722	1.6986412276764895E-10
Spi1	Gzmk	1.965996724858629	2.1949162487544527E-5
Tsc22d3	Cdh11	1.653120866107909	1.6986412276764895E-10
Meox2	Ccl19	1.6182250777534342	1.6986412276764895E-10
Pax5	Itgb3	1.496618695389238	9.229284003708926E-9
Vav1	Rasgrf2	2.1066795008813433	9.229284003708926E-9
Mkx	Lypd6	1.7138441211720195	9.229284003708926E-9
Prdm1	Zbtb46	1.5930599256279145	9.229284003708926E-9
Pax3	Proz	2.870692640039518	9.044750415299063E-4
Tsc22d3	Tbc1d8	1.198294051214127	4.737510383989729E-7
